Scientific,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,Scientific2,genus,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,longevity_y,adult_svl_cm,offspring.peryear
Microtus oeconomus,0,0,0,0,0,0,0,0,20,80,1,1,1,34.38,Alexandromys oeconomus,Microtus,Root Vole,5.76,3.44,33.1,2.166666667,21.55978,1.8,14.452,19.8144
Ammospermophilus harrisii,20,0,0,0,0,10,20,0,20,30,0,0,1,122,Ammospermophilus harrisii,Ammospermophilus,Harris's Antelope Squirrel,6.66,1,126,10.6,29.35646,10.58333333,16.3585,6.66
Ammospermophilus leucurus,20,0,0,0,0,10,20,0,20,30,0,0,1,103.67,Ammospermophilus leucurus,Ammospermophilus,White-tailed Antelope Squirrel,8,1.315,96.75,11.2,29.19,5.833333333,15.957,10.52
Baiomys taylori,10,0,0,0,0,0,0,0,10,80,0,1,1,8,Baiomys taylori,Baiomys,Northern Pygmy Mouse,2.67,10,7.43,3.583333333,21.99,3.13,7.245,26.7
Blarina brevicauda,40,0,0,0,30,0,0,0,0,30,1,1,1,28,Blarina brevicauda,Blarina,Northern Short-tailed Shrew,5.73,3,20.7,2.75,20.08776,2.370833333,11.121,17.19
Blarina carolinensis,40,0,0,0,30,0,0,0,0,30,1,1,1,13.5,Blarina carolinensis,Blarina,Southern Short-tailed Shrew,4.12,3,20.45,2.75,20.08776,2.370833333,10.16,12.36
Blarina hylophaga,40,0,0,0,30,0,0,0,0,30,1,1,1,14.5,Blarina hylophaga,Blarina,Elliot's Short-tailed Shrew,5,2.5,18.56,2.8,21,2.370833333,10.16,12.5
Spermophilus lateralis,20,0,0,0,0,0,0,0,40,40,0,0,1,191,Callospermophilus lateralis,Spermophilus,Golden-mantled Ground Squirrel,5.12,0.97,227.3,10.4,30.436,10.31666667,31.019,4.9664
Chaetodipus baileyi,10,0,0,0,0,0,0,0,80,10,1,0,0,26.35,Chaetodipus baileyi,Chaetodipus,Bailey's Pocket Mouse,3.68,NA,28.77,3.991666667,NA,3.991666667,10.9465,NA
Chaetodipus californicus,10,0,0,0,0,0,0,0,80,10,1,0,0,22,Chaetodipus californicus,Chaetodipus,California Pocket Mouse,4,NA,23.01,1.833333333,25.21094,1.833333333,NA,NA
